BGC_name,BGC_full,Class,BiG-SCAPE class,Product Prediction,Clan,Family,Pfam_vector,Pfam_vector_length,Pfam_descriptor
Aq_latercula_05,Aq_latercula_05.region001,Terpene,Terpene,terpene,13,59,['PF01364.18 PF03781.16 PF01225.25 PF08245.12 PF02875.21 PF10851.8 PF00924.18 PF05552.12 PF01648.20 PF01804.18 PF00005.27 PF00975.20 PF14905.6 PF13715.6 PF00668.20 PF00550.25 PF13193.6 PF00501.28 PF00668.20 PF00668.20 PF00550.25 PF13193.6 PF00501.28 PF00668.20 PF13483.6 PF18456.1 PF00550.25 PF13193.6 PF00501.28 PF00668.20 PF00550.25 PF13193.6 PF00501.28 PF00668.20 PF02668.16 PF00668.20 PF00550.25 PF13193.6 PF00501.28 PF00668.20 PF18563.1 PF00550.25 PF13193.6 PF00501.28 PF00668.20 PF00550.25 PF00501.28 PF01177.22 PF00668.20 PF00550.25 PF00501.28 PF00668.20 PF00668.20 PF00550.25 PF13193.6 PF00501.28 PF00668.20 PF18563.1 PF00550.25 PF13193.6 PF00501.28 PF00668.20 PF00550.25 PF13193.6 PF00501.28 PF00668.20 PF00550.25 PF00501.28 PF00668.20 PF00550.25 PF00501.28 PF00668.20 PF02357.19 PF04738.13 PF14028.6 PF12833.7 PF02897.15 PF00326.21 PF08245.12 PF02472.16 PF01618.16 PF06450.12 PF00208.21 PF02812.18 PF02771.16 PF02770.19 PF00441.24'],87.0,DUF1800;DUF1501;LCM;Sulfate_transp;ABC_tran;SQS_PSY;Caroten_synth;Glycos_transf_2;TPR_8;DUF4056;NUDIX;Pribosyltran;BPL_LplA_LipB;RsfS
Aq_BL5_region002,Aq_BL5_region002,Terpene,Terpene,terpene,13,83,['PF01548.17 PF02371.16 PF00583.25 PF13673.7 PF10000.9 PF13840.6 PF14329.6 PF13265.6 PF13181.6 PF00535.26 PF01553.21 PF04240.12 PF00494.19 PF03060.15 PF02962.15 PF12833.7 PF11918.8 PF03572.18 PF01435.18'],19.0,DEDD_Tnp_IS110;Transposase_20;Acetyltransf_1;Acetyltransf_10;ACT_3;ACT_7;DUF4386;DUF4056;TPR_8;Glycos_transf_2;Acyltransferase;Caroten_synth;SQS_PSY;NMO;CHMI;HTH_18;Peptidase_S41_N;Peptidase_S41;Peptidase_M48
Aq_W01_05,Aq_W01_05.1.region001,Terpene,Terpene,terpene,13,123,['PF00199.19 PF06628.12 PF12796.7 PF09630.10 PF11534.8 PF12802.7 PF00004.29 PF01168.20 PF13411.6 PF02607.17 PF01593.24 PF00494.19 PF04116.13 PF03073.15 PF05368.13 PF11066.8 PF00255.19 PF00875.18 PF03441.14 PF12833.7'],20.0,Catalase;Catalase-rel;Ank_2;DUF2024;HTHP;MarR_2;AAA;Ala_racemase_N;MerR_1;B12-binding_2;Amino_oxidase;SQS_PSY;FA_hydroxylase;TspO_MBR;NmrA;DUF2867;GSHPx;DNA_photolyase;FAD_binding_7;HTH_18
Aq_agarilytica_37,Aq_agarilytica_37.region001,Terpene,Terpene,terpene,13,131,['PF00583.25 PF13648.6 PF12146.8 PF02566.19 PF09905.9 PF13905.6 PF04055.21 PF06167.12 PF13411.6 PF02607.17 PF01593.24 PF00494.19 PF04116.13 PF05834.12 PF00581.20 PF00581.20 PF00909.21 PF14902.6 PF10262.9 PF02018.17 PF07308.13 PF00549.19 PF08442.10'],23.0,Acetyltransf_1;Lipocalin_4;Hydrolase_4;OsmC;VF530;Thioredoxin_8;Radical_SAM;Peptidase_M90;MerR_1;B12-binding_2;Amino_oxidase;SQS_PSY;FA_hydroxylase;Lycopene_cycl;Rhodanese;Rhodanese;Ammonium_transp;DUF4494;Rdx;CBM_4_9;DUF1456;Ligase_CoA;ATP-grasp_2
Aq_agarivorans_8,Aq_agarivorans_8.1.region001,Terpene,Others,terpene.siderophore,13,136,['PF00282.19 PF13434.6 PF07690.16 PF13523.6 PF04183.12 PF06276.12 PF13523.6 PF04183.12 PF06276.12 PF07786.12 PF00378.20 PF12833.7 PF13715.6 PF07715.15 PF14298.6 PF03929.16 PF00581.20 PF00581.20 PF05834.12 PF04116.13 PF00494.19 PF01593.24 PF02607.17 PF06167.12 PF04055.21'],25.0,Pyridoxal_deC;K_oxygenase;MFS_1;Acetyltransf_8;IucA_IucC;FhuF;Acetyltransf_8;IucA_IucC;FhuF;DUF1624;ECH_1;HTH_18;CarbopepD_reg_2;Plug;DUF4374;PepSY_TM;Rhodanese;Rhodanese;Lycopene_cycl;FA_hydroxylase;SQS_PSY;Amino_oxidase;B12-binding_2;Peptidase_M90;Radical_SAM
Aq_AD1_region003,Aq_AD1_region003,Terpene,Terpene,terpene,13,150,['PF03965.16 PF05569.11 PF01551.22 PF00593.24 PF07715.15 PF13715.6 PF07660.14 PF16344.5 PF04773.13 PF08281.12 PF02607.17 PF01593.24 PF00494.19 PF04116.13 PF00578.21 PF13545.6 PF00027.29 PF04095.16 PF18127.1 PF00149.28 PF13640.6 PF01885.16 PF06626.12'],23.0,Penicillinase_R;Peptidase_M56;Peptidase_M23;TonB_dep_Rec;Plug;CarbopepD_reg_2;STN;DUF4974;FecR;Sigma70_r4_2;B12-binding_2;Amino_oxidase;SQS_PSY;FA_hydroxylase;AhpC-TSA;HTH_Crp_2;cNMP_binding;NAPRTase;DUF5598;Metallophos;2OG-FeII_Oxy_3;PTS_2-RNA;DUF1152
Aq_Aq107_contig_6,Aq_Aq107_contig_6.region001,Terpene,Terpene,terpene,13,150,['PF01661.21 PF18306.1 PF01885.16 PF13640.6 PF00149.28 PF18127.1 PF04095.16 PF00027.29 PF13545.6 PF00578.21 PF00494.19 PF01593.24 PF02607.17 PF08281.12 PF04773.13 PF16344.5 PF07660.14 PF13715.6 PF07715.15 PF00593.24 PF01551.22 PF05569.11 PF03965.16'],23.0,Macro;LDcluster4;PTS_2-RNA;2OG-FeII_Oxy_3;Metallophos;DUF5598;NAPRTase;cNMP_binding;HTH_Crp_2;AhpC-TSA;SQS_PSY;Amino_oxidase;B12-binding_2;Sigma70_r4_2;FecR;DUF4974;STN;CarbopepD_reg_2;Plug;TonB_dep_Rec;Peptidase_M23;Peptidase_M56;Penicillinase_R
Aq_RZ0_66,Aq_RZ0_66.1.region001,Terpene,Terpene,terpene,13,150,['PF03422.15 PF03422.15 PF02368.18 PF02368.18 PF02368.18 PF13411.6 PF01593.24 PF00494.19 PF04116.13 PF08534.10 PF13545.6 PF00027.29 PF04095.16 PF18127.1 PF00149.28 PF03747.14 PF03747.14 PF00156.27 PF13793.6'],19.0,CBM_6;CBM_6;Big_2;Big_2;Big_2;MerR_1;Amino_oxidase;SQS_PSY;FA_hydroxylase;Redoxin;HTH_Crp_2;cNMP_binding;NAPRTase;DUF5598;Metallophos;ADP_ribosyl_GH;ADP_ribosyl_GH;Pribosyltran;Pribosyltran_N
Aq_amphilecti_6,Aq_amphilecti_6.1.region001,Terpene,Terpene,terpene,13,150,['PF06626.12 PF01885.16 PF13640.6 PF00149.28 PF18127.1 PF04095.16 PF00027.29 PF13545.6 PF00578.21 PF00494.19 PF01593.24 PF13411.6 PF08281.12 PF04542.14 PF04773.13 PF16344.5 PF07660.14 PF13715.6 PF07715.15 PF00593.24 PF01551.22 PF05569.11 PF03965.16'],23.0,DUF1152;PTS_2-RNA;2OG-FeII_Oxy_3;Metallophos;DUF5598;NAPRTase;cNMP_binding;HTH_Crp_2;AhpC-TSA;SQS_PSY;Amino_oxidase;MerR_1;Sigma70_r4_2;Sigma70_r2;FecR;DUF4974;STN;CarbopepD_reg_2;Plug;TonB_dep_Rec;Peptidase_M23;Peptidase_M56;Penicillinase_R
Aq_atlantica_6,Aq_atlantica_6.1.region001,Terpene,Terpene,terpene,13,150,['PF13793.6 PF00156.27 PF15891.5 PF08719.11 PF01661.21 PF01885.16 PF13640.6 PF03747.14 PF00149.28 PF18127.1 PF04095.16 PF00027.29 PF13545.6 PF08534.10 PF04116.13 PF00494.19 PF01593.24 PF02607.17 PF13411.6 PF08281.12 PF04542.14 PF04773.13 PF16344.5 PF07660.14 PF13715.6 PF07715.15 PF00593.24 PF01551.22 PF05569.11 PF03965.16'],30.0,Pribosyltran_N;Pribosyltran;Nuc_deoxyri_tr2;DUF1768;Macro;PTS_2-RNA;2OG-FeII_Oxy_3;ADP_ribosyl_GH;Metallophos;DUF5598;NAPRTase;cNMP_binding;HTH_Crp_2;Redoxin;FA_hydroxylase;SQS_PSY;Amino_oxidase;B12-binding_2;MerR_1;Sigma70_r4_2;Sigma70_r2;FecR;DUF4974;STN;CarbopepD_reg_2;Plug;TonB_dep_Rec;Peptidase_M23;Peptidase_M56;Penicillinase_R
Aq_latercula_07,Aq_latercula_07.region001,Terpene,Terpene,terpene,13,150,['PF06626.12 PF01885.16 PF13640.6 PF00149.28 PF18127.1 PF04095.16 PF00027.29 PF13545.6 PF00578.21 PF00494.19 PF01593.24 PF02607.17 PF08281.12 PF04542.14 PF04773.13 PF16344.5 PF07660.14 PF13715.6 PF07715.15 PF00593.24 PF01551.22 PF05569.11 PF03965.16'],23.0,DUF1152;PTS_2-RNA;2OG-FeII_Oxy_3;Metallophos;DUF5598;NAPRTase;cNMP_binding;HTH_Crp_2;AhpC-TSA;SQS_PSY;Amino_oxidase;B12-binding_2;Sigma70_r4_2;Sigma70_r2;FecR;DUF4974;STN;CarbopepD_reg_2;Plug;TonB_dep_Rec;Peptidase_M23;Peptidase_M56;Penicillinase_R
Aq_megaterium_4,Aq_megaterium_4.region001,Terpene,Terpene,terpene,13,150,['PF15891.5 PF03747.14 PF14124.6 PF01661.21 PF01885.16 PF13640.6 PF00149.28 PF18127.1 PF04095.16 PF00027.29 PF13545.6 PF08534.10 PF00494.19 PF01593.24 PF13411.6 PF08281.12 PF04542.14 PF16220.5 PF04773.13 PF16344.5 PF07660.14 PF13715.6 PF07715.15 PF00593.24 PF01551.22 PF05569.11 PF03965.16'],27.0,Nuc_deoxyri_tr2;ADP_ribosyl_GH;DUF4291;Macro;PTS_2-RNA;2OG-FeII_Oxy_3;Metallophos;DUF5598;NAPRTase;cNMP_binding;HTH_Crp_2;Redoxin;SQS_PSY;Amino_oxidase;MerR_1;Sigma70_r4_2;Sigma70_r2;DUF4880;FecR;DUF4974;STN;CarbopepD_reg_2;Plug;TonB_dep_Rec;Peptidase_M23;Peptidase_M56;Penicillinase_R
Aq_AU474_3,Aq_AU474_3.region002,Terpene,Terpene,terpene,13,185,['PF00456.21 PF02779.24 PF02780.20 PF13568.6 PF01479.25 PF00156.27 PF01202.22 PF13411.6 PF01593.24 PF00494.19 PF00578.21 PF13545.6 PF00027.29 PF00694.19 PF00330.20 PF17863.1 PF07726.11 PF00639.21 PF00639.21'],19.0,Transketolase_N;Transket_pyr;Transketolase_C;OMP_b-brl_2;S4;Pribosyltran;SKI;MerR_1;Amino_oxidase;SQS_PSY;AhpC-TSA;HTH_Crp_2;cNMP_binding;Aconitase_C;Aconitase;AAA_lid_2;AAA_3;Rotamase;Rotamase
Aq_longa_9,Aq_longa_9.region001,Terpene,Terpene,terpene,13,185,['PF02779.24 PF02780.20 PF01479.25 PF05724.11 PF00156.27 PF01202.22 PF00939.19 PF13411.6 PF02607.17 PF01593.24 PF00494.19 PF04116.13 PF08534.10 PF13545.6 PF00027.29 PF04095.16 PF00694.19 PF00330.20 PF17863.1 PF07726.11'],20.0,Transket_pyr;Transketolase_C;S4;TPMT;Pribosyltran;SKI;Na_sulph_symp;MerR_1;B12-binding_2;Amino_oxidase;SQS_PSY;FA_hydroxylase;Redoxin;HTH_Crp_2;cNMP_binding;NAPRTase;Aconitase_C;Aconitase;AAA_lid_2;AAA_3
Aq_muelleri_008,Aq_muelleri_008.1.region001,Terpene,Terpene,terpene,13,185,['PF00456.21 PF02779.24 PF02780.20 PF13568.6 PF01479.25 PF05724.11 PF00156.27 PF01202.22 PF13411.6 PF02607.17 PF01593.24 PF00494.19 PF04116.13 PF08534.10 PF13545.6 PF00027.29 PF00694.19 PF00330.20 PF17863.1 PF07726.11 PF00639.21 PF00639.21'],22.0,Transketolase_N;Transket_pyr;Transketolase_C;OMP_b-brl_2;S4;TPMT;Pribosyltran;SKI;MerR_1;B12-binding_2;Amino_oxidase;SQS_PSY;FA_hydroxylase;Redoxin;HTH_Crp_2;cNMP_binding;Aconitase_C;Aconitase;AAA_lid_2;AAA_3;Rotamase;Rotamase
Aq_pacifica_10,Aq_pacifica_10.1.region001,Terpene,Terpene,terpene,13,185,['PF00456.21 PF02779.24 PF02780.20 PF13568.6 PF01479.25 PF00156.27 PF01202.22 PF13411.6 PF01593.24 PF00494.19 PF04116.13 PF13905.6 PF13545.6 PF00027.29 PF00694.19 PF00330.20 PF17863.1 PF07726.11 PF00639.21 PF13616.6'],20.0,Transketolase_N;Transket_pyr;Transketolase_C;OMP_b-brl_2;S4;Pribosyltran;SKI;MerR_1;Amino_oxidase;SQS_PSY;FA_hydroxylase;Thioredoxin_8;HTH_Crp_2;cNMP_binding;Aconitase_C;Aconitase;AAA_lid_2;AAA_3;Rotamase;Rotamase_3
Aq_spongiae_02,Aq_spongiae_02.1.region001,Terpene,Terpene,terpene,13,185,['PF00456.21 PF02779.24 PF02780.20 PF13568.6 PF01479.25 PF00156.27 PF01202.22 PF13411.6 PF01593.24 PF00494.19 PF00578.21 PF13545.6 PF00027.29 PF00694.19 PF00330.20 PF00330.20 PF06434.13 PF11791.8'],18.0,Transketolase_N;Transket_pyr;Transketolase_C;OMP_b-brl_2;S4;Pribosyltran;SKI;MerR_1;Amino_oxidase;SQS_PSY;AhpC-TSA;HTH_Crp_2;cNMP_binding;Aconitase_C;Aconitase;Aconitase;Aconitase_2_N;Aconitase_B_N
Aq_135_0,Aq_135_0.region001,Terpene,Terpene,terpene,13,188,['PF00593.24 PF07715.15 PF13715.6 PF16344.5 PF04773.13 PF04542.14 PF08281.12 PF13411.6 PF01593.24 PF00494.19 PF04116.13 PF00578.21 PF13545.6 PF00027.29 PF00694.19 PF00330.20 PF13648.6 PF17863.1 PF07726.11 PF00639.21 PF00639.21'],21.0,TonB_dep_Rec;Plug;CarbopepD_reg_2;DUF4974;FecR;Sigma70_r2;Sigma70_r4_2;MerR_1;Amino_oxidase;SQS_PSY;FA_hydroxylase;AhpC-TSA;HTH_Crp_2;cNMP_binding;Aconitase_C;Aconitase;Lipocalin_4;AAA_lid_2;AAA_3;Rotamase;Rotamase
Aq_AU119_1,Aq_AU119_1.region001,Terpene,Terpene,terpene,13,188,['PF00330.20 PF00694.19 PF00027.29 PF13545.6 PF08534.10 PF00494.19 PF01593.24 PF13411.6 PF08281.12 PF04542.14 PF04773.13 PF16344.5 PF13715.6 PF07715.15 PF00593.24'],15.0,Aconitase;Aconitase_C;cNMP_binding;HTH_Crp_2;Redoxin;SQS_PSY;Amino_oxidase;MerR_1;Sigma70_r4_2;Sigma70_r2;FecR;DUF4974;CarbopepD_reg_2;Plug;TonB_dep_Rec
Aq_AU58_14,Aq_AU58_14.1.region003,Terpene,Terpene,terpene,13,188,['PF15891.5 PF14124.6 PF01661.21 PF01885.16 PF00149.28 PF18127.1 PF04095.16 PF00027.29 PF13545.6 PF08534.10 PF04116.13 PF00494.19 PF01593.24 PF13411.6 PF08281.12 PF04542.14 PF04773.13 PF16344.5 PF07660.14 PF13715.6 PF07715.15 PF00593.24 PF01551.22 PF05569.11 PF03965.16'],25.0,DUF2807;Acyl-ACP_TE;MgtE;CBS;CBS;MgtE_N;RrnaAD;DUF4286;TPR_6;TPR_8;TPR_19;tRNA-synt_2b;Seryl_tRNA_N;HisKA_3;TPR_8;VKG_Carbox;Flavokinase;FAD_syn;Pept_tRNA_hydro;Ribosomal_TL5_C;Ribosomal_L25p;Pribosyl_synth;Pribosyltran_N;NusG;PP-binding;DUF2156;Beta_elim_lyase;ketoacyl-synt;Ketoacyl-synt_C;KAsynt_C_assoc;PS-DH;KR;PP-binding;ketoacyl-synt;Ketoacyl-synt_C;KAsynt_C_assoc;PS-DH;Aminotran_3;PP-binding;ketoacyl-synt;Ketoacyl-synt_C;PP-binding;Thioesterase;MMPL;MMPL;LolA_like;NAD_binding_8;GMC_oxred_N;PP-binding;ketoacyl-synt;Ketoacyl-synt_C;KAsynt_C_assoc;ECH_1;ECH_1;ECH_1;PP-binding;ketoacyl-synt;Ketoacyl-synt_C;KAsynt_C_assoc;KR;PP-binding;ketoacyl-synt;Ketoacyl-synt_C;KAsynt_C_assoc;PS-DH;KR;Methyltransf_12;PP-binding;ketoacyl-synt;Ketoacyl-synt_C;KAsynt_C_assoc;PS-DH;KR;PP-binding;ketoacyl-synt;Ketoacyl-synt_C;KAsynt_C_assoc;PS-DH;ECH_1;ECH_1;ECH_1;PP-binding;PP-binding;ketoacyl-synt;Ketoacyl-synt_C;KAsynt_C_assoc;PS-DH;KR;PP-binding;ketoacyl-synt;Ketoacyl-synt_C;KAsynt_C_assoc;PS-DH;ECH_1;ECH_1;ECH_1;PP-binding;PP-binding;ketoacyl-synt;Ketoacyl-synt_C;KAsynt_C_assoc;PS-DH;KR;PP-binding;ketoacyl-synt;Ketoacyl-synt_C;KAsynt_C_assoc;PS-DH;KR;PP-binding;ketoacyl-synt;Ketoacyl-synt_C;KAsynt_C_assoc;PS-DH;KR;PP-binding;ketoacyl-synt;Ketoacyl-synt_C;KAsynt_C_assoc;KR;PP-binding;ketoacyl-synt;Ketoacyl-synt_C;KAsynt_C_assoc;PS-DH;C_GCAxxG_C_C;C_GCAxxG_C_C;Aminotran_5;Methyltransf_31;Aminotran_5;Aminotran_5;HMG_CoA_synt_N;HMG_CoA_synt_C;ECH_1;Acyl_transf_1;Lactamase_B;PP-binding;ketoacyl-synt;Ketoacyl-synt_C;Acyl_transf_1;Metalloenzyme;ACPS;PP-binding;DUF4386;FabA;ketoacyl-synt;Ketoacyl-synt_C;ketoacyl-synt;adh_short_C2;NAD_binding_8;PP-binding;CarbopepD_reg_2;Plug;TonB_dep_Rec;PepSY_TM;PD40;PD40;PD40;PD40;DUF2911;TPR_17;His_kinase;Response_reg;LytTR;Fer4_12;NRDD;Rrf2
Aq_Aq349_2,Aq_Aq349_2.region001,Terpene,Terpene,terpene,13,188,['PF00293.28 PF13793.6 PF00156.27 PF15891.5 PF14124.6 PF01661.21 PF01885.16 PF00149.28 PF18127.1 PF04095.16 PF00027.29 PF13545.6 PF08534.10 PF04116.13 PF00494.19 PF01593.24 PF13411.6 PF08281.12 PF04542.14 PF04773.13 PF16344.5 PF07660.14 PF13715.6 PF07715.15 PF00593.24 PF01551.22 PF05569.11 PF03965.16'],28.0,NUDIX;Pribosyltran_N;Pribosyltran;Nuc_deoxyri_tr2;DUF4291;Macro;PTS_2-RNA;Metallophos;DUF5598;NAPRTase;cNMP_binding;HTH_Crp_2;Redoxin;FA_hydroxylase;SQS_PSY;Amino_oxidase;MerR_1;Sigma70_r4_2;Sigma70_r2;FecR;DUF4974;STN;CarbopepD_reg_2;Plug;TonB_dep_Rec;Peptidase_M23;Peptidase_M56;Penicillinase_R
Aq_Aq78_contig_4,Aq_Aq78_contig_4.region001,Terpene,Terpene,terpene,13,188,['PF03965.16 PF05569.11 PF01551.22 PF00593.24 PF07715.15 PF13715.6 PF16344.5 PF04773.13 PF04542.14 PF08281.12 PF13411.6 PF02607.17 PF01593.24 PF00494.19 PF08534.10 PF13545.6 PF00027.29 PF04095.16 PF18127.1 PF00149.28 PF03747.14 PF13640.6 PF01885.16 PF01661.21 PF14124.6'],25.0,Penicillinase_R;Peptidase_M56;Peptidase_M23;TonB_dep_Rec;Plug;CarbopepD_reg_2;DUF4974;FecR;Sigma70_r2;Sigma70_r4_2;MerR_1;B12-binding_2;Amino_oxidase;SQS_PSY;Redoxin;HTH_Crp_2;cNMP_binding;NAPRTase;DUF5598;Metallophos;ADP_ribosyl_GH;2OG-FeII_Oxy_3;PTS_2-RNA;Macro;DUF4291
Aq_BL5_region007,Aq_BL5_region007,Terpene,Terpene,terpene,13,188,['PF01661.21 PF18306.1 PF01885.16 PF00149.28 PF18127.1 PF04095.16 PF00027.29 PF13545.6 PF00578.21 PF00494.19 PF01593.24 PF13411.6 PF08281.12 PF04542.14 PF00578.21 PF08281.12 PF04773.13 PF16344.5'],18.0,Macro;LDcluster4;PTS_2-RNA;Metallophos;DUF5598;NAPRTase;cNMP_binding;HTH_Crp_2;AhpC-TSA;SQS_PSY;Amino_oxidase;MerR_1;Sigma70_r4_2;Sigma70_r2;AhpC-TSA;Sigma70_r4_2;FecR;DUF4974
